fleurs id,file path,filename,language,lcode,iso 639-3,iso 15924,transcription,romanized transcription,duration,acoustic_id
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25799938.mp3,common_voice_ba_25799938.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Баҫалҡы Мәғәмүрә яурындарын һикертте.,basalky meghemure yauryndaryn shhikertte,5.148,"157,233,203,33,188,147,191,0,101,254,124,115,33,186,214,10,254,0,46,74,77,10,16,101,80,33,167,16,14,0,14,32,183,190,147,173,84,68,73,74"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25871365.mp3,common_voice_ba_25871365.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Ҡайһы бер йыуаштары ҡыймайынса, уйлап ҡарарға вәғәҙә биреп китһәләр ҙә, күбеһе туранан-тура ҡарышты.",kaishhy ber iyuashtary kyimaiynsa uilap karargha vegheze birep kitshheler ze kubeshhe turanantura karyshty,7.956,"73,33,86,86,205,254,254,0,80,138,181,0,39,165,159,117,240,111,211,9,10,256,0,25,216,86,78,9,57,245,248,128,74,0,64,249,69,33,232,0,73,115,217,9,181,124,124,33,0,237,117,124,130,9,90,254,0,180,245,87,22,232,0,147,85,198,211,32,19,252,69,138,181,0,90,57,0,147,64,224,138,57,57,57,65,0,192,200,167,249,170,9,160,242,64,181,178,0,147,154,10,231,240,111,73,65"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25888446.mp3,common_voice_ba_25888446.mp3,Bashkir,bak_Cyrl,bak,Cyrl,- Ғабдулла ла Айҙар! - тип ғорурланып яуап ҡайтарҙы Яҡуп.,ghabdulla la aizar tip ghorurlanyp yauap kaitarzy yakup,4.5,"124,124,117,232,80,188,77,69,113,0,69,33,0,57,245,90,33,167,0,151,37,232,0,215,215,214,181,120,84,69,74,101,191,192,0,39,74,159,188,93,0,192,9,49,211,19,84,90,19,0,39,178,73,116,68"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25888961.mp3,common_voice_ba_25888961.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Үрҙә һаналған хаталарығыҙҙы выговор биреп тә төҙәтеп булыр ине.,urze shhanalghan khatalaryghyzzy vygovor birep te tozetep bulyr ine,5.004,"77,87,90,254,0,32,168,28,9,160,117,96,124,233,113,44,0,32,43,9,192,19,159,9,181,44,124,256,44,90,90,254,0,90,188,124,191,237,31,181,0,157,183,87,37,232,0,73,9,0,211,107,237,9,73,19,224,0,157,64,104,249,10,0,245,210,6"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25914059.mp3,common_voice_ba_25914059.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Бесән наҡыҫ булыуҙан күтәртеү хәленә еткән һыйыр ауыр быҙауланы.,besen nakys bulyuzan kuterteu khelene etken shhyiyr auyr byzaulany,5.22,"13,37,164,115,160,0,101,33,73,191,203,0,40,214,77,188,249,90,74,14,0,147,64,242,9,84,211,254,191,0,32,43,9,217,245,101,256,0,37,192,221,9,210,0,32,32,19,65,39,254,10,0,28,77,249,181,0,157,249,90,117,51,159,74,210,24"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26336822.mp3,common_voice_ba_26336822.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Тағы уятам.,taghy uyatam,3.276,"100,33,124,124,254,0,77,39,9,198,74,186"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26344282.mp3,common_voice_ba_26344282.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Район хакимиәте башлығы йәштәргә торлаҡ шарттарын яҡшыртыу өсөн сертификаттар тапшырҙы.,raion khakimiete bashlyghy ieshterge torlak sharttaryn yakshyrtyu oson sertifikattar tapshyrzy,6.12,"167,9,39,254,205,0,32,32,113,147,183,14,138,254,68,254,0,157,9,240,111,12,256,124,124,254,0,39,114,240,111,211,115,87,124,113,0,73,19,10,69,117,25,0,240,43,115,84,68,211,9,181,96,101,0,39,9,4,240,43,19,84,198,120,216,0,114,164,19,61,0,168,37,87,119,37,203,37,147,9,68,73,9,84,0,198,178,25,168,255,19,10,90,24"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26349338.mp3,common_voice_ba_26349338.mp3,Bashkir,bak_Cyrl,bak,Cyrl,— Һиңә лә кәрәкме?,shhine le kerekme,3.06,"185,240,255,183,14,57,0,69,114,0,147,76,87,9,68,78,24"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26360628.mp3,common_voice_ba_26360628.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Бөгөн хушлашабыҙ.,bogon khushlashabyz,3.348,"180,58,124,120,101,0,215,215,249,179,111,217,9,109,255,2,242,249,12"
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26376456.mp3,common_voice_ba_26376456.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Батша ла, аты ла һыуһаған.",batsha la aty la shhyushhaghan,4.428,"157,233,231,240,255,233,0,69,33,0,9,198,9,0,188,117,0,32,32,32,214,155,32,32,74,140,124,140,74,155"
