fleurs id,file path,filename,language,lcode,iso 639-3,iso 15924,transcription,romanized transcription,duration
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25799938.mp3,common_voice_ba_25799938.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Баҫалҡы Мәғәмүрә яурындарын һикертте.,basalky meghemure yauryndaryn shhikertte,5.148
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25871365.mp3,common_voice_ba_25871365.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Ҡайһы бер йыуаштары ҡыймайынса, уйлап ҡарарға вәғәҙә биреп китһәләр ҙә, күбеһе туранан-тура ҡарышты.",kaishhy ber iyuashtary kyimaiynsa uilap karargha vegheze birep kitshheler ze kubeshhe turanantura karyshty,7.956
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25888446.mp3,common_voice_ba_25888446.mp3,Bashkir,bak_Cyrl,bak,Cyrl,- Ғабдулла ла Айҙар! - тип ғорурланып яуап ҡайтарҙы Яҡуп.,ghabdulla la aizar tip ghorurlanyp yauap kaitarzy yakup,4.5
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25888961.mp3,common_voice_ba_25888961.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Үрҙә һаналған хаталарығыҙҙы выговор биреп тә төҙәтеп булыр ине.,urze shhanalghan khatalaryghyzzy vygovor birep te tozetep bulyr ine,5.004
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_25914059.mp3,common_voice_ba_25914059.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Бесән наҡыҫ булыуҙан күтәртеү хәленә еткән һыйыр ауыр быҙауланы.,besen nakys bulyuzan kuterteu khelene etken shhyiyr auyr byzaulany,5.22
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26336822.mp3,common_voice_ba_26336822.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Тағы уятам.,taghy uyatam,3.276
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26344282.mp3,common_voice_ba_26344282.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Район хакимиәте башлығы йәштәргә торлаҡ шарттарын яҡшыртыу өсөн сертификаттар тапшырҙы.,raion khakimiete bashlyghy ieshterge torlak sharttaryn yakshyrtyu oson sertifikattar tapshyrzy,6.12
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26349338.mp3,common_voice_ba_26349338.mp3,Bashkir,bak_Cyrl,bak,Cyrl,— Һиңә лә кәрәкме?,shhine le kerekme,3.06
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26360628.mp3,common_voice_ba_26360628.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Бөгөн хушлашабыҙ.,bogon khushlashabyz,3.348
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26376456.mp3,common_voice_ba_26376456.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Батша ла, аты ла һыуһаған.",batsha la aty la shhyushhaghan,4.428
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26212211.mp3,common_voice_ba_26212211.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Балтаң булмаһа, урманға барма.",baltan bulmashha urmangha barma,3.528
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26461669.mp3,common_voice_ba_26461669.mp3,Bashkir,bak_Cyrl,bak,Cyrl,"Алдағы айҙарҙа, әлбиттә, йыл миҙгелдәренә ярашлы үткәрелеүсе башҡа күп төрлө традицион спорт саралары ҡаралған.",aldaghy aizarza elbitte iyl mizgelderene yarashly utkereleuse bashka kup torlo traditsion sport saralary karalghan,9.828
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26462581.mp3,common_voice_ba_26462581.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Яңғыҙым.,yanghyzym,2.556
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26462925.mp3,common_voice_ba_26462925.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Әммә кешелек милләттәр һәм конфессиялар араһындағы мөнәсәбәттәрҙең ҡатмарлаша барыуын иғтибарға алмаған булып сыҡты.,emme keshelek milletter shhem konfessiyalar arashhyndaghy monesebetterzen katmarlasha baryuyn ightibargha almaghan bulyp sykty,8.316
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26203386.mp3,common_voice_ba_26203386.mp3,Bashkir,bak_Cyrl,bak,Cyrl,Буш тоҡ тура ултырмаҫ.,bush tok tura ultyrmas,3.816
,/ssd2/sangmin/datasets/commonvoice22/Bashkir/cv-corpus-22.0-2025-06-20/ba/clips/common_voice_ba_26204404.mp3,common_voice_ba_26204404.mp3,Bashkir,bak_Cyrl,bak,Cyrl,— Кесерткәндән?,kesertkenden,2.808
